user	ALCOHOL	BIGOTRY	DRUGS	LANGUAGE	SEX	VIOLENCE	VOLUNTEERING	DONATION	HELPING_OTHERS	PROTECTING_OTHERS
0e688bb7-9976-4616-8b4c-c6274ae52325	0	1	0	0	0	0	0	0	0	0
0e688bb7-9976-4616-8b4c-c6274ae52325	0	1	0	0	0	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	1	0	0	0	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	0	0	0	1	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	1	0	0	0	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	0	0	0	1	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	1	0	0	0	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	0	0	0	1	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	1	0	0	0	0	0	0	0	0
271d49b9-dd2a-4b09-b220-fd2475238a95	0	0	0	0	1	0	0	0	0	0
91a0c836-b566-4950-88d8-1a70926eddd0	1	0	0	0	0	0	0	0	0	0
91a0c836-b566-4950-88d8-1a70926eddd0	0	1	0	0	0	0	0	0	0	0
91a0c836-b566-4950-88d8-1a70926eddd0	1	0	0	0	0	0	0	0	0	0
91a0c836-b566-4950-88d8-1a70926eddd0	0	1	0	0	0	0	0	0	0	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	1	0	0	0	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	0	0	0	1	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	1	0	0	0	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	1	0	0	0	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	1	0	0	0	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	0	1	0	0	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	0	0	1	1	0
976e5d83-87c7-4688-bdc3-0e1537a3f3fd	0	0	0	0	0	1	0	0	0	0
