Srvy_id	SQ23_1050	SQ23_1120	SQ23_1300	SQ23_1301	SQ23_1321	SQ23_1440	SQ23_1441	SQ23_1460	SQ23_1463	SQ23_1500	SQ23_1525	SQ23_1610	SQ23_1710	SQ23_1811	SQ23_1930	SQ23_1932	SQ23_4006	SQ23_4150	SQ23_4220	SQ23_4225	SQ23_4531	SQ23_4534	SQ23_4537	SQ23_4538	SQ23_5600	SQ23_5631	SQ23_5660	SQ23_5700	SQ23_5814	SQ23_5831	SQ23_5833	SQ23_5836	SQ23_5971	SQ23_5972	SQ23_8031	SQ23_8080	SQ23_8179	SQ23_8180	SQ23_8186	SQ23_8200	SQ23_8370	SQ23_8475	SQ23_9050	SQ23_9230	SQ23_9600	SQ23_9622	SQ23_9902	SQ23_9910
1511202102	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	1	1	-1	1	1	0	1	1	1	1	-1	1	1	1	0	1	2	1	1	0
1511202118	-3	-2	-2	-3	-1	3	2	3	3	0	-3	2	1	1	-2	0	2	1	2	3	3	2	0	2	2	2	3	3	1	2	1	1	-2	-1	3	0	2	0	3	2	3	-1	-3	3	-2	1	-2	-2
1511202152	-3	-3	-3	-3	-3	3	2	3	3	3	-3	3	3	-1	-3	-3	-2	-2	-2	-1	-2	-1	-1	-1	2	3	2	2	3	2	3	0	-3	-3	-2	0	-2	-2	-3	-1	-1	-2	-3	-3	-3	-3	-3	-3
1511202163	0	0	-3	0	-3	3	3	3	3	3	0	3	3	3	0	0	-3	0	1	-3	3	0	-3	0	3	3	3	3	3	2	3	3	0	0	3	3	2	0	3	3	1	-3	-3	0	-3	0	-3	-2
1511202170	-3	-3	-3	-3	-2	2	2	0	0	1	-3	1	0	-1	-3	-3	0	0	1	2	0	1	-1	1	1	1	1	1	3	2	3	1	-2	-1	0	1	1	2	0	2	2	-1	-3	-2	-3	-2	-2	-3
1511202180	-3	-3	-3	-3	-3	3	3	0	3	3	-3	2	3	-2	-3	-3	-3	-3	-3	-3	2	-2	-2	0	3	3	3	0	2	1	2	0	-3	-3	2	1	-2	0	0	2	0	-2	-3	-3	-3	-3	-3	-3
1511202182	-3	-3	-3	-3	-2	2	2	2	2	2	-3	2	2	-1	-1	-3	-1	-1	-1	-1	0	0	-1	-1	2	2	2	3	2	2	3	1	-1	-2	1	0	0	1	1	2	0	-1	-3	-3	-3	-3	-3	-3
1511202193	1	2	2	2	3	2	0	2	2	3	3	2	2	3	-3	2	3	2	3	3	2	3	2	2	2	2	3	2	2	2	2	3	-2	3	2	-3	3	2	-3	2	3	3	-2	2	3	3	2	-3
1511202200	1	1	-3	-3	-1	3	3	3	3	-1	-2	2	3	-1	0	-2	1	-1	0	1	1	0	1	0	1	2	3	2	1	-1	1	1	-1	-3	2	-1	-1	2	3	0	-2	-1	-3	-2	-3	-3	-3	-3
1511202220	0	0	1	1	1	-2	0	-1	-1	1	1	0	-1	-1	1	1	3	-1	3	3	-2	-2	-1	-2	0	0	-1	3	2	0	1	-1	1	2	1	3	3	3	3	3	3	3	0	0	1	2	2	0
1511202230	-2	-2	-3	-3	-2	3	3	2	-3	3	-3	3	3	0	-3	1	2	2	2	2	0	0	0	0	3	1	3	0	0	2	3	1	-2	-2	2	1	2	1	-1	0	1	0	-2	-3	-3	-2	-3	-2
1511202241	1	0	-2	-1	2	1	2	2	1	2	-2	-1	1	2	1	1	2	3	3	3	1	1	0	1	2	1	2	1	1	1	2	2	2	0	2	0	1	3	0	1	0	1	-1	0	0	1	-1	-1
1511202245	-2	-3	-3	-2	-2	3	2	1	1	1	-2	1	1	-1	-2	-3	2	1	3	2	-1	-2	-2	-1	0	1	2	1	1	1	1	0	-3	-3	0	2	-3	-1	0	-2	-2	-2	-3	-3	-3	-3	-3	-3
1511202254	-3	-3	-3	-3	-3	0	1	2	1	0	-3	3	2	-3	-3	-3	0	2	3	0	1	0	1	0	3	3	3	3	3	3	3	3	1	2	3	3	3	2	3	3	2	2	0	-1	-3	2	-3	-3
1511202259	0	0	-3	-2	1	3	3	1	1	1	-3	2	2	2	-1	-2	-1	-1	0	0	-3	-3	-3	-3	1	1	1	1	1	1	1	1	-1	-1	0	1	0	1	0	-1	0	-2	-3	-3	-3	-3	-3	-3
1511202260	3	2	-1	3	3	3	3	3	3	3	3	3	3	-2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	-1	0	3	3	3	3	3	1	3	3	-1	-1	-3	-2	-1	3
1511202268	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	3	-3	-3	-1	0	-3	0	0	0	0	0	2	2	2	2	2	3	2	2	-2	-3	0	1	2	2	1	2	2	-3	-3	-3	-3	-3	-3	-3
1511202277	-1	-3	0	-1	-1	1	1	1	2	1	-3	2	3	-1	-1	-2	0	0	0	0	0	1	1	0	1	2	-2	0	1	1	2	1	0	-1	1	-1	1	1	0	1	1	-1	-2	-2	-1	-2	-2	-3
1511202279	-2	-1	-3	-2	-2	3	2	-3	-2	3	-3	3	3	2	-2	-2	1	2	3	3	-2	-2	-2	-3	2	2	2	2	1	2	3	1	-2	-1	0	-1	-1	0	0	0	0	-1	-3	-3	-2	-3	-3	-3
1511202285	-3	-2	-2	-3	-3	3	2	2	2	2	-3	1	3	1	-1	0	2	-2	2	2	2	3	1	2	3	3	2	3	3	3	3	3	1	0	0	1	2	1	2	2	1	0	-2	0	0	0	-1	-1
1511202304	0	-1	-1	-2	-1	1	1	0	0	0	-2	-1	1	0	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	2	2	2	1	2	1	0	1	-1	0	2	0	0	-1	2	0	1	-1	-1	-1	-2	-2	-1	-2
1511202311	-2	-3	-2	-2	-1	2	2	1	2	2	-2	1	2	1	-2	-2	3	2	2	3	0	0	0	-2	1	1	2	2	1	0	1	0	-2	-3	0	2	2	0	0	1	1	0	-3	0	-2	-2	-3	-3
1511202321	0	-2	0	0	-1	1	0	0	1	-2	-1	0	0	1	0	0	3	3	3	3	-3	-3	-3	-3	0	-1	0	-2	0	1	2	0	-3	-2	-1	0	1	2	-1	-1	0	-1	-3	-2	-2	-3	-3	-3
1511202327	-3	-3	-3	-3	-2	3	3	3	3	3	-3	3	3	-2	-3	-3	0	1	1	0	2	1	1	1	3	3	3	3	3	3	3	1	-2	-2	2	0	2	2	2	1	1	-3	-3	-3	-3	-3	-3	-3
1511202348	-3	-3	-3	-3	-3	3	3	2	3	3	-3	3	3	3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	2	2	2	1	2	3	3	3	-3	-3	1	2	1	2	1	1	3	-1	-3	-3	-3	-3	-3	-3
1511202350	-3	-2	-3	-2	-2	3	3	3	3	3	0	3	3	3	0	0	-2	1	3	-3	0	0	1	1	3	3	3	3	3	3	3	2	-3	-2	3	-2	1	0	2	3	2	2	-3	-3	-3	-3	-3	-3
1511202356	-2	-3	-3	-2	-3	3	3	3	3	3	-3	1	3	-1	-3	-3	0	0	0	0	2	3	0	3	2	3	3	2	2	3	2	0	-3	0	2	3	3	1	2	2	3	-2	-3	-3	-3	-3	-3	-3
1511202397	-1	-2	-3	-2	-1	2	2	2	2	2	-2	2	3	2	-2	-2	3	3	3	3	0	-3	-1	-3	2	0	2	2	3	1	2	2	-3	-1	1	2	0	3	2	0	3	0	-3	-1	-3	-2	-3	-2
1511202402	-2	-3	-3	-3	-2	3	2	1	3	1	-3	1	3	-2	-3	-3	2	2	3	0	2	3	1	1	1	2	0	0	3	3	3	0	-3	-1	0	-1	-2	0	0	0	0	-2	-2	-3	-3	-3	-3	-3
1511202435	3	3	0	2	3	3	2	3	3	3	1	3	3	3	3	2	1	0	2	0	0	3	3	3	2	3	1	1	3	2	3	1	-1	-1	0	0	0	2	-1	0	0	0	-3	1	-3	-3	-3	-3
1511202444	-3	-3	-3	-3	-3	3	3	3	3	2	-3	3	3	2	-3	-3	0	0	0	0	0	0	0	0	3	1	2	1	0	3	3	1	-3	-3	2	0	-2	-2	2	3	2	-3	-3	-3	-3	-3	-3	-3
1511202458	-2	0	-2	1	1	1	-1	2	3	0	3	3	2	-2	2	3	3	3	3	3	-1	-3	-3	-3	-1	1	0	-1	1	1	2	0	3	3	0	0	1	0	0	0	3	1	-1	1	-1	-2	-1	0
1511202460	-3	-3	-3	-3	-3	3	3	3	3	3	-3	2	3	0	-2	-3	-3	-3	-3	-3	3	1	-3	-1	1	1	2	1	1	2	2	1	-2	1	2	0	0	1	0	2	-1	-3	-3	-2	-2	-3	-3	-3
1511202473	1	-3	-2	-3	-2	2	3	0	3	1	-3	3	3	-2	-3	-2	3	3	3	3	-3	-2	-2	-2	3	3	3	3	-2	0	2	2	0	1	2	0	3	-1	1	2	0	0	-2	0	-2	-1	-3	-3
1511202480	3	3	-3	-3	3	3	3	3	3	3	-3	3	3	3	3	3	3	3	3	3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	-3	-3	3	3	3	3	3	-3	3	3	-3	-3	-3	-3	-3	-3
1511202507	-2	-1	-3	-3	0	2	2	1	2	2	-3	0	1	-1	-3	-1	2	0	1	2	0	0	-1	0	3	3	2	2	2	2	3	1	-1	-1	2	0	1	2	2	0	1	0	-1	-1	-1	-1	-2	-3
1511202518	-3	-3	-3	-3	-3	1	3	0	0	-3	-3	0	-3	1	-3	-3	-2	-2	-3	0	1	3	3	3	3	2	2	2	1	3	2	1	-3	-3	2	-1	-1	0	1	1	-2	2	-3	-3	-3	-3	-3	-3
1511202541	2	3	1	1	2	1	2	1	2	1	2	2	2	1	1	2	3	3	1	1	2	3	2	2	2	2	2	2	2	2	2	2	-2	-1	2	2	2	2	1	1	2	1	-2	1	-1	2	-1	-2
1511202545	-3	-3	-3	-3	-3	2	-1	1	2	-3	-2	3	1	2	-1	-2	-3	1	2	2	1	0	1	-2	3	3	2	3	1	2	2	1	2	2	2	1	2	2	2	2	3	2	-3	1	-1	-2	3	-3
1511202554	-3	-3	-3	-2	-3	1	2	3	2	-2	-2	-1	2	-1	1	-2	3	3	3	3	0	-3	-3	-3	-2	1	0	1	3	0	3	-1	3	3	-1	0	3	0	-1	-3	2	1	-3	3	0	3	-2	0
1511202572	-3	-3	-3	-3	-1	3	3	3	3	2	-3	3	3	-1	-3	-3	-3	0	0	0	-3	-3	-3	-3	3	1	3	3	3	3	2	0	-3	-2	-1	-1	-2	-2	-2	-2	1	-2	-3	-3	-3	-3	-3	-3
1511202581	0	1	-1	1	2	3	3	3	3	3	0	3	3	3	0	2	0	0	0	2	0	0	0	0	3	3	0	3	3	3	2	3	1	0	2	1	3	3	3	0	2	2	0	0	0	0	0	-1
1511202584	0	0	-3	-3	0	1	1	0	-1	2	-3	1	2	-1	0	-1	-3	-3	-3	-3	1	-1	-1	1	2	0	2	1	-2	0	1	1	-2	-2	1	-2	-3	-1	0	1	0	-3	-3	-3	-3	-3	-3	-3
1511202586	-3	-3	-3	-3	-1	0	2	-3	1	-3	-3	-3	2	1	-3	-3	3	-3	1	1	-3	2	0	2	2	2	1	-3	3	1	3	3	-1	2	-3	-3	2	-3	-3	3	-3	-3	-3	-3	-3	-1	-3	-3
1511202588	-3	-3	-3	-1	1	2	3	0	2	1	-3	1	1	1	-3	0	-1	-3	-3	1	1	-3	0	1	1	0	0	1	-1	-3	0	1	-3	-3	0	-1	2	-2	0	1	2	-3	-3	-3	-3	-3	-2	-3
1511202613	-1	0	1	2	1	1	2	1	1	1	3	1	1	1	1	0	3	3	3	3	2	3	1	2	1	2	3	3	-3	3	3	2	-3	-3	3	2	3	3	1	2	0	3	-3	-3	-3	0	-3	-3
1511202629	-3	-3	-3	-3	-3	3	3	3	3	-3	-3	3	3	3	-3	-3	3	-1	1	0	2	0	-3	0	1	3	3	2	1	3	3	1	-3	-3	1	2	1	1	1	2	1	-1	-3	-3	-3	0	-2	-1
1511202634	-2	-3	-3	-2	-3	3	2	2	2	3	-2	3	2	-3	-3	-3	3	3	3	3	0	-3	-2	-3	3	3	3	3	1	1	3	3	-3	-3	3	2	2	3	3	-1	3	0	-3	0	-2	-2	-3	-3
1511202648	-2	-2	-2	-2	-1	0	0	0	0	1	-2	1	1	-1	-1	0	0	-1	-1	-1	-2	-1	-1	0	1	1	1	1	0	0	0	2	-1	-1	1	-2	0	-2	1	-2	0	-2	-1	-2	-2	-2	-2	-1
1511202659	-3	-3	-3	-3	-3	3	3	3	3	3	-3	3	3	1	-3	-3	3	1	3	3	0	0	-1	2	3	3	2	2	1	2	2	0	-3	0	0	-1	-3	-2	0	1	0	-2	-3	-3	-3	-3	-3	-3
1511202661	-3	-3	-2	0	2	3	3	3	3	3	-3	2	3	3	-1	-1	1	3	3	3	-3	-3	-3	-3	3	3	3	3	3	3	3	3	-3	3	3	0	3	3	2	3	3	-2	-3	-3	-3	3	-3	-3
1511200075	0	-1	3	0	1	3	3	3	3	3	0	3	3	3	0	0	0	2	0	0	0	0	0	0	3	3	3	3	1	3	3	3	-3	0	3	0	0	2	2	3	0	0	0	-3	-3	-3	-3	-3
1511200261	-3	-3	-3	-3	-3	1	1	-2	0	1	-3	1	1	2	-3	-3	3	3	3	2	-2	-3	-3	-1	3	3	3	2	2	2	3	1	0	-3	-2	0	-1	-1	2	0	2	-2	-2	-3	-2	-3	-3	-3
1511200282	-3	-3	-3	-3	0	3	3	3	3	3	-3	3	3	3	-3	-3	0	0	0	0	0	0	0	0	3	3	3	1	3	3	3	3	-3	-2	3	0	0	0	0	0	3	0	-3	-1	-3	-3	-3	-3
1511200292	-3	-3	-3	-1	0	3	3	3	3	2	-2	3	3	1	-2	-3	-3	-3	-2	-3	0	0	-3	0	2	0	3	0	2	3	3	2	0	0	0	-1	0	0	2	-2	3	0	-3	-3	-3	-3	-3	-3
1511200297	-1	-3	-3	-3	-1	2	1	2	-3	1	-3	-3	1	0	-3	-3	0	-1	2	1	-1	-1	-2	-1	2	0	0	1	1	1	0	1	1	-3	1	1	1	1	0	-1	0	1	-3	-2	-3	-2	-3	-3
1511200403	-2	-2	-2	-2	-1	2	2	2	1	2	-1	1	2	0	-2	-1	0	-1	0	0	-1	0	-2	0	1	1	0	0	1	2	0	0	-1	-1	0	-1	-1	0	-1	0	0	-2	-2	-2	-1	-1	-3	-3
1511200411	-3	-3	-3	-1	-3	3	3	3	3	0	-3	3	1	-1	-3	-3	1	-3	-3	-1	3	2	-1	0	3	3	0	-3	1	1	3	3	-1	-3	1	3	-3	-1	3	1	0	3	-1	-3	-3	-3	-3	-3
1511200439	-3	-2	-3	-2	-2	2	2	1	1	0	-3	1	2	0	-3	-3	-2	0	-1	0	-3	-3	-3	-3	1	0	1	1	0	-2	1	-1	2	-3	0	0	-2	-3	-2	0	-3	-3	-3	-2	-3	-3	-3	-3
1511200467	-3	-3	-3	-3	-3	3	3	3	3	2	-3	3	3	-2	-3	-3	-2	-2	-1	-1	2	2	2	2	1	0	1	1	3	1	3	2	-3	-3	1	1	-3	-2	-3	1	2	-2	-3	-3	-3	-3	-3	-3
1511200497	-3	-3	-3	-3	-3	2	2	0	0	2	-3	2	2	0	-1	-3	-3	-3	-3	-3	3	3	3	3	3	3	3	2	3	2	3	2	-3	-3	3	1	-1	3	3	3	1	-3	-3	-1	-3	-3	-3	-3
1511200502	-3	-3	-3	-3	-2	2	3	3	3	2	-3	2	3	2	-3	-2	-3	-3	-2	-2	-1	-1	-2	-1	2	2	2	2	2	2	0	1	-3	-3	2	1	2	-1	1	1	1	-3	-3	-2	-3	-3	-3	-3
1511200617	-3	-2	-3	-3	-1	3	3	1	-2	0	-3	2	1	0	-3	-3	0	-2	1	-2	2	1	-2	3	3	3	0	2	3	2	3	1	0	-1	3	1	3	1	2	2	2	0	-3	-2	-2	-2	-3	-3
1511200628	0	2	-2	0	1	1	2	0	0	1	-2	0	2	1	1	2	3	2	3	3	0	-1	-3	-1	2	2	1	2	3	3	3	2	2	2	3	2	-1	2	1	2	2	1	1	1	1	1	1	1
1511200638	-2	-2	-2	-2	-1	2	2	2	3	2	-2	1	3	1	-2	-2	1	1	1	1	1	1	0	1	2	1	2	2	2	2	2	1	-2	-2	1	1	1	1	1	1	2	-1	-3	-3	-3	-3	-3	-2
1511200641	-3	-3	-1	-3	-1	1	1	0	-3	0	-3	1	0	0	-2	0	0	-1	1	-1	1	1	1	1	3	1	2	-3	1	3	3	3	-3	-3	0	1	-2	1	0	0	1	-3	-3	-3	-3	-3	-3	-3
1511200656	-3	-3	-3	-1	0	1	3	1	0	3	0	0	3	1	-1	0	3	3	3	3	-2	0	-2	0	2	2	3	0	3	3	3	1	-2	-2	3	3	3	0	3	0	3	3	-3	-1	-3	-1	-3	-3
1511200664	-2	-2	-3	-2	-2	0	1	1	0	2	-2	1	3	1	-2	-2	2	3	3	3	-1	-1	-1	0	1	0	1	0	1	2	3	0	0	-1	0	0	1	0	0	-1	1	-1	-3	-2	-2	-2	-2	-3
1511200672	1	0	-3	-1	0	2	3	3	3	3	-3	3	3	2	-1	-1	3	3	3	3	-2	-2	-1	-1	3	0	3	3	3	3	3	3	1	-3	3	3	3	3	3	3	3	3	-3	-2	-3	-3	-3	-3
1511200712	-3	-1	-2	0	-1	2	3	3	3	3	-1	3	3	1	-2	1	0	3	3	3	-3	-3	-3	-3	2	1	2	2	3	1	2	1	-2	-2	2	1	0	2	1	-2	2	-3	-3	-3	-2	-3	-2	-3
1511200730	0	0	-2	-2	-2	1	2	1	3	2	-2	1	3	1	-1	0	-3	-3	-1	-2	-2	-2	-2	-2	3	3	3	1	2	3	1	2	0	0	-1	1	-1	1	-1	1	2	-1	-1	0	0	0	-1	-3
1511200750	-3	-2	-3	-1	-3	0	2	1	1	1	-3	2	2	-3	-2	-2	0	-1	0	0	0	0	0	-1	2	0	2	0	1	1	1	0	0	-2	1	0	0	-1	0	0	0	-3	-2	-3	-3	-2	-3	-3
1511200764	-2	-3	-3	-3	-2	2	3	2	1	3	-3	2	2	-1	-2	-3	-3	-2	0	-1	-2	-2	-3	-1	1	1	2	2	1	2	3	1	0	-2	1	-2	-2	0	0	-1	-1	-2	-3	-3	-2	-3	-3	-1
1511200775	-3	-3	-3	-3	-2	3	3	2	3	3	-3	3	2	1	-3	-1	-3	0	-3	-2	-3	0	-3	-1	-1	2	-2	-2	3	2	0	3	-2	-1	1	-2	-3	-2	-2	1	0	-3	-3	0	-3	-3	-3	-3
1511200820	-3	-3	-3	-2	-1	3	3	3	3	2	-3	3	3	-3	-3	-2	0	1	3	0	0	-1	2	3	3	3	2	3	3	2	3	-2	-1	-2	3	3	3	1	3	1	1	-1	-3	-2	-1	-3	-2	-3
1511200840	-2	-3	-3	-3	-3	3	3	3	3	3	-3	2	3	-2	-3	-3	-3	-3	-3	0	2	2	-2	2	1	2	1	1	2	3	1	3	-3	-3	1	2	2	3	2	2	0	-1	-3	-3	-3	-3	-3	-3
1511200866	-3	-3	-3	-3	-3	3	3	3	3	2	-3	3	3	-1	-1	-1	0	-1	0	-1	-2	-1	-1	-2	2	3	2	2	1	1	3	2	1	-1	1	2	1	1	0	1	1	-3	-3	-2	-1	-1	-3	-3
1511200880	-3	-3	-2	-1	-2	1	0	1	1	-1	-3	0	1	-1	-3	-2	-3	-1	0	-2	-1	-1	-2	-1	0	0	1	1	0	0	1	1	-1	-2	1	0	0	0	0	0	0	-1	-3	-2	-3	-3	-3	-3
1511200888	-1	-1	-2	-1	-2	2	3	2	3	3	-3	1	3	0	-3	-1	-1	-1	-2	-1	-1	-1	-1	-2	1	1	2	-1	3	1	3	2	-1	-2	1	0	0	2	1	2	2	-1	-3	-2	-2	-2	-3	-2
1511200919	0	1	-1	-3	0	2	2	1	0	1	-2	0	1	1	0	-1	1	1	1	1	1	1	1	1	0	1	1	-1	0	2	2	1	1	0	1	1	1	1	0	0	1	-1	0	1	-1	-1	-1	-1
1511200964	-3	0	-3	-2	3	3	2	3	3	1	-3	1	3	2	-1	0	3	1	3	3	3	3	0	3	3	2	2	3	-1	2	2	-3	-2	-3	3	3	3	3	3	3	3	-1	-3	-2	-3	-3	-3	-3
1511200977	-1	-3	-3	0	1	3	3	3	3	3	-3	3	3	1	0	0	1	2	3	3	0	2	-1	1	3	2	3	2	2	2	3	1	-3	-2	3	2	-1	2	2	2	2	0	-3	-2	-3	-1	-3	-3
1511200984	1	-1	-2	-1	1	2	2	2	2	2	-2	0	2	1	1	1	3	3	3	3	-1	-1	-1	-1	1	1	1	1	1	2	2	0	-1	0	1	2	3	3	3	1	2	-1	-1	-2	0	1	-2	-2
1511200985	-3	-3	-3	-3	-2	0	3	2	0	-1	-3	0	2	1	-2	-2	0	0	2	2	-3	-3	-2	-2	3	3	3	3	1	-1	3	0	-3	-3	2	-1	0	0	0	0	1	-3	-3	1	-3	-3	-3	-3
1511201039	-1	-1	-1	-1	0	2	3	1	2	3	-1	2	2	0	-1	-2	1	0	2	1	0	1	0	-1	1	2	2	0	1	1	3	1	-2	-2	2	1	2	1	2	1	1	0	-3	-1	-2	-2	-3	-3
